voter,role,country,gender,voter_url
Philip French,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/190
Jean-Michel Frodon,critic,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/494
Fu Hongxing,archivist,China,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/595
Chris Fujiwara,programmer,US/Japan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/722
Graham Fuller,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/564
Andreas Furler,programmer,Switzerland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/815
Filipe Furtado,critic,Brazil,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/610
Köves Gábor,critic,Hungary,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/414
Petr Gajdosik,critic,Czech Republic,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/194
Tag Gallagher,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/68
Santiago Gallego,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/118
Vigen Galstyan,critic,Australia/Armenia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/25
Steven Galvin,critic,Ireland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/85
Charles Gant,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/729
Fernando Ganzo,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/613
Alon Garbuz,programmer,Israel,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/824
Juan Antonio García Borrero,critic,Cuba,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/454
Félix García de Villegas Rey,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/618
Leonardo García Tsao,critic,Mexico,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/399
Jean-Pierre Garcia,programmer,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/492
Jorge García,critic,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/469
Roger Garcia,programmer,Hong Kong,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/141
Ruy Gardnier,critic,Brazil,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/131
Catherine Gautier,programmer,Spain,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/735
Fran Gayo,programmer,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/604
Sonia Genaitay,archivist,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/93
Dan Georgakas,academic,US/Greece,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/700
Bill Georgaris,critic,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/764
Luke Gibbons,academic,Ireland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/376
Ben Gibson,other,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/768
Ryan Gilbey,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/130
Jane Giles,programmer,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/507
Suzy Gillett,programmer,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/73
Zuzana Gindl-Tatarova,critic,Slovakia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1
June Givanni,programmer,Guyana,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/448
Anne Gjelsvik,academic,Norway,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/797
Beat Glur,critic,Switzerland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/769
Goran Gocic,critic,Serbia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/566
Ed Gonzalez,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/649
Lalitha Gopalan,academic,India/US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/411
Jan Göransson,other,Sweden,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/511
Andrei Gorzo,critic,Romania,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/813
Bill Gosden,programmer,New Zealand,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/763
Fritz Göttler,critic,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/596
Kevin Gough-Yates,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/426
Julian Graffy,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/452
Jamie Graham,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/513
Steve Gravestock,programmer,Canada,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/86
Carmen Gray,critic,New Zealand/UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/741
Erica Gregor,programmer,Germany,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/629
Ulrich Gregor,programmer,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/36
Tim Grierson,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/54
Keith Griffiths,other,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/434
David Gritten,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/682
Sergio Grmek Germani,archivist,Italy,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/109
Thomas Groh,critic,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/59
Melissa Gronlund,critic,US/UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/314
Manuel Grosso Galvan,academic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/368
Trevor Groth,programmer,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/39
Román Gubern,academic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/138
Haden Guest,archivist,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/552
Tom Gunning,academic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/45
Evgeny Gusyatinskiy,programmer,Russia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/623
Roman Gutek,programmer,Poland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/137
Báron György,critic,Hungary,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/772
Per Haddal,critic,Norway,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/209
Malte Hagener,academic,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/373
Sabine Hake,academic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/129
Robert Haller,archivist,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/150
Ed Halter,programmer,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/648
Peter Hames,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/204
Rahul Hamid,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/178
Wally Hammond,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/17
Howard Hampton,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/539
Piers Handling,programmer,Canada,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/183
Mick Hannigan,programmer,Ireland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/292
Briony Hanson,other,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/752
Ruth Harley,other,New Zeland/Australia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/132
Avinoam Harpak,programmer,Israel,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/779
Sue Harris,academic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/78
Sanam Hasan,distributor,Pakistan,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/122
Molly Haskell,critic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/275
Nick Hasted,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/258
Philippa Hawker,critic,Australia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/185
Michael Hayden,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/308
Sandra Hebron,programmer,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/121
Vinzenz Hediger,academic,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/24
Liz Helfgott,critic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/390
Heather Hendershot,academic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/549
Marek Hendrykowski,academic,Poland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/358
Carlos F. Heredero,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/744
Shai Heredia,programmer,India,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/105
Tim Highsted,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/53
John Hill,academic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/478
Lola Hinojosa,programmer,Spain,,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/387
Okajima Hisashi,programmer,Japan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/237
Sam Ho,critic,Japan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/124
Jim Hoberman,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/485
Ken Hollings,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/431
Jan Holmberg,archivist,Sweden,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/510
Stewart Home,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/82
Li Hongyu,critic,China,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/395
Jan-Christopher Horak,archivist,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/508
Philip Horne,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/189
Bill Horrigan,programmer,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/762
Alexander Horwath,archivist,Austria,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/831
Peter Howell,critic,Canada,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/203
Chinlin Hsieh,programmer,Thailand/France,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/726
Christoph Huber,critic,Austria,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/717
David Hudson,critic,US/Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/681
Gráinne Humphreys,programmer,Ireland,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/562
Pamela Hutchinson,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/229
Youngmee Hwang,critic,Korea,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/5
Adam Hyman,programmer,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/845
Mikhail Iampolski,academic,US/Russia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/284
Pasquale Iannone,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/226
Wendy Ide,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/16
Eulàlia Iglesias Huix,critic,Spain,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/625
Philip Ilson,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/188
Gary Indiana,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/589
May Adadol Ingawanij,academic,Thailand/UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/318
Nachman Ingber,academic,Israel,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/272
Dina Iordanova,academic,Bulgaria/UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/657
Jane Lamacraft,,,,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/506
Kevin Jackson,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/425
Sean Jacobs,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/112
Alexander Jacoby,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/830
Alby James,programmer,UK/Africa,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/833
David E James,critic,UK/US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/686
Nick James,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/257
Pavel Jech,academic,Czech Republic,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/212
Jorge Jellinek,critic,Uruguay,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/468
Bruce Jenkins,academic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/751
David Jenkins,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/680
Jytte Jensen,archivist,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/445
Shanay Jhaveri,programmer,India,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/104
Kim Ji-seok,programmer,South Korea,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/421
Thierry Jobin,programmer,Switzerland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/65
Sheila Johnston,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/102
Trevor Johnston,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/38
Alan Jones,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/837
Kent Jones,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/428
Tony Jones,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/42
Lamia Joreige,programmer,Lebanon,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/410
Fernando E. Juan Lima,critic,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/615
Laurent Jullier,academic,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/404
Mariano Martín Kairuz,critic,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/351
Martin Kanuch,critic,Slovakia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/331
Marit Kapla,programmer,Sweden,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/349
Zdena Škapová,academic,Czech Republic,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/3
Law Kar,archivist,Hong Kong,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/403
Laurence Kardish,archivist,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/405
Daniel Kasman,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/696
Katsue Tomiyama,programmer,Japan,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/436
Christian Keathley,academic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/719
Dave Kehr,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/690
Sek Kei,critic,Hong Kong,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/111
Shu Kei,other,Hong Kong,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/99
Craig Keller,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/708
Richard T Kelly,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/157
Philip Kemp,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/187
Glenn Kenny,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/569
Mark Kermode,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/344
Laura Kern,critic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/408
Frank Kessler,academic,Netherlands,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/599
Andriy Khalpakhchi,programmer,Ukraine,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/804
Andreas Kilb,critic,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/814
B (Brent) Kite,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/778
Clare Kitson,programmer,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/711
Dávid Klág,critic,Hungary,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/679
Stuart Klawans,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/79
Uri Klein,critic,Israel,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/34
Gabe Klinger,critic,Brazil/US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/593
Tobias Kniebe,critic,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/48
Chris Knight,critic,Canada,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/721
Ekkehard Knörer,critic,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/640
Gertrud Koch,academic,Germany,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/577
Robert Koehler,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/149
Martin Koerber,archivist,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/330
Eric Kohn,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/631
Michael Koller,programmer,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/307
Andrzej Kolodynski,critic,Poland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/803
Hiroshi Komatsu,academic,Japan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/542
Michael Koresky,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/306
Peter Körte,critic,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/202
Dieter Kosslick,programmer,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/659
Richard Koszarski,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/163
Violeta Kovacsics,critic,Spain,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/22
Tadeusz Kowalski,archivist,Poland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/69
Roger Koza,critic,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/140
Shelly Kraicer,programmer,Canada,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/100
Klaus Kreimeier,academic,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/417
Esin Kucuktepepinar,critic,Turkey,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/627
Jay Kuehner,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/496
Annette Kuhn,academic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/795
Richard Kuipers,critic,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/162
Maria Kuvshinova,critic,Russia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/355
Andrew Lampert,archivist,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/810
Fernando Lara,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/612
Edward Lawrenson,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/643
Sylvia Lawson,critic,Australia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/72
Eric Le Roy,archivist,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/630
Kevin B Lee,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/427
Nathan Lee,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/264
Danny Leigh,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/694
Isaac León Frías,critic,Peru,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/526
Joachim Lepastier,critic,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/483
Diego Lerer,critic,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/660
Matthias Lerf,critic,Switzerland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/320
Esther Leslie,academic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/626
Mariann Lewinsky,programmer,Switz/Italy,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/352
Matthew Leyland,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/323
Dennis Lim,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/664
Helena Lindblad,critic,Sweden,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/546
Dana Linssen,critic,Netherlands,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/698
Michel Lipkes,programmer,Mexico,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/295
Ross Lipman,archivist,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/134
Kjetil Lismoen,critic,Norway,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/418
Guy Lodge,critic,UK/South Africa,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/554
Tiina Lokk,programmer,Estonia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/55
Manuel J Lombardo,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/367
Long Tin Shum,critic,Hong Kong,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/386
Carolina López Caballero,programmer,Spain,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/740
Carlos Losilla,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/743
Simon Louvish,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/98
Xiaoning Lu,academic,China/UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/8
Tim Lucas,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/51
Violet Lucca,critic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/23
Verena Lueken,critic,Germany,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/28
Marlena Lukasiak,programmer,Poland,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/338
Jan Lumholdt,critic,Sweden,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/509
Cristina Álvarez López,critic,Spain,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/707
Kalle Løchen,critic,Norway,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/443
Scott MacDonald,academic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/114
Peter Machen,critic,South Africa,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/201
Tony Macklin,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/41
Geoffrey Macnab,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/581
Mike Maggiore,programmer,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/286
Florence Maillard,critic,France,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/606
Frédéric Maire,archivist,Switzerland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/597
Edwin Mak,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/641
Derek Malcolm,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/663
Roberto Manassero,critic,Italy,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/146
Dario Marchiori,critic,Italy/France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/693
Yevgeny Margolit,critic,Russia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/7
